description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Tortellini gefullt mit Ricotta und Spinat Basilikum-Kasesauce Fruhlingszwiebel Tomatenwurfel und geriebener Emmentaler,no,no,Essen 2,Vegetarisch,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_wochenangebot.jpg
Zucchini-Kofte Krauter-Joghurtdip Griechischer Bauernsalat Fladenbrot,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_essen-1.jpg
Nudelsalat mit Oliven getr. Tomaten Basilikum mit Wienerle oder Bio Tofuwurstchen,no,no,Schneller Teller,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_wochenangebot.jpg
Tortellini gefullt mit Ricotta und Spinat Basilikum-Kasesauce Fruhlingszwiebel Tomatenwurfel und geriebener Emmentaler,no,no,Essen 2,Vegetarisch,Mensa Institutsviertel,images/2025-07-09/mensa-institutsviertel_essen-2.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-09/mensa-institutsviertel_wochenangebot.jpg
Mini Fruhlingsrollen Sauce su-sauer Basmatireis,no,no,Essen 1,Vegan,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-1.jpg
Hamburger TS mit Rindfleisch Kase Tomate Salat Pommes frites,no,no,Essen 2,Nicht-vegetarisch,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-2.jpg
Kaiserschmarrn Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-1.jpg
Pfannengyros vom Schwein Krauter-Joghurtdip Indischer Gewurzreis Karotten-Krautsalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_wochenangebot.jpg
Cannelloni mit Gemuse und Kasekruste Tomatensauce Krauterpesto,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_essen-1.jpg
Sojagyros Zaziki Gemusereis Karotten-Krautsalat,no,no,Tagesgericht,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_tagesgericht.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_wochenangebot.jpg
Kaiserschmarrn Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-1.jpg
Pfannengyros vom Schwein Krauter-Joghurtdip Indischer Gewurzreis Karotten-Krautsalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-3.jpg
Scharfe Gemuse-Kokos-Suppe mit Bio-Tofu Baguette,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_schneller-teller.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_wochenangebot.jpg
Gefullte Paprika Gebackene Kartoffel- und Sukartoffelspalten Spanische Bohnen,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-07-07/mensa-rempartstrae_wochenangebot.jpg
Gefullte Paprika Gebackene Kartoffel- und Sukartoffelspalten Spanische Bohnen,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_essen-1.jpg
