description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Tortellini fulled with ricotta and spinach basil-kases sauce fruhling onion tomato wurdel and grated Emmentaler,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-3.jpg
Thick fries chilli by pea protein jalapenos arugola knoblauchole pepperoniol grated kase,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_wochenangebot.jpg
Zucchini-Kofte Krauter-Joghurtdip Greek peasant salad flatbread,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_essen-1.jpg
Noodle salad with olives tr. Tomato basil with Wienerle or Bio Tofuwurstchen,no,no,Quick plate,Vegan (on request),Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_schneller-teller.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_wochenangebot.jpg
Tortellini fulled with ricotta and spinach basil-kases sauce fruhling onion tomato wurdel and grated Emmentaler,no,no,Meal 2,Vegetarian,Mensa Institutsviertel,images/2025-07-09/mensa-institutsviertel_essen-2.jpg
Thick fries chilli by pea protein jalapenos arugola knoblauchole pepperoniol grated kase,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-09/mensa-institutsviertel_wochenangebot.jpg
Mini spring rolls sauce SU-Sau basmati rice,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-1.jpg
Hamburger TS with beef kase tomato salad fries fries,no,no,Meal 2,Non‑vegetarian,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-2.jpg
Kaiserschmarrn apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-1.jpg
Pfannengyros from the pig Krautter-Yoghurtdip Indian root rice Carroted herb salad,no,no,Meal 2,Non‑vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-3.jpg
Thick fries chilli by pea protein jalapenos arugola knoblauchole pepperoniol grated kase,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_wochenangebot.jpg
Cannelloni with a gem and casual crust sauce herbly pesto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_essen-1.jpg
Sojagyros Zaziki Gemusereis Carrot Salad,no,no,Daily dish,Vegan (on request),Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_tagesgericht.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_wochenangebot.jpg
Kaiserschmarrn apple sauce,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-1.jpg
Pfannengyros from the pig Krautter-Yoghurtdip Indian root rice Carroted herb salad,no,no,Meal 2,Non‑vegetarian,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-3.jpg
Sharp gemuse coconut soup with bio-tofu baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_schneller-teller.jpg
Thick fries chilli by pea protein jalapenos arugola knoblauchole pepperoniol grated kase,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_wochenangebot.jpg
Fulled peppers baked potato and suk potato slices of Spanish beans,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-3.jpg
