cuda available: True
cuda device count: 1
[+] Running on cuda
[+] Loading models (on CPU)…
[+] Preparing LoRA adapters…
[+] Profiling data pipeline (~200 examples)…
👀 Dataset size (train split): 1667 examples
[+] ~200 imgs in 3.9s → 0.020s/img
👀 Dataset size (train split): 1667 examples
[+] 100-step benchmark…
[+] 100 steps: 57.8s → 0.578s/step
[+] Est. full training: 4.8h
[+] Training start…
Step 100/30000 — loss 0.2222
Step 200/30000 — loss 0.0226
Step 300/30000 — loss 0.5360
Step 400/30000 — loss 0.0747
Step 500/30000 — loss 0.5386
Step 600/30000 — loss 0.2691
Step 700/30000 — loss 0.2794
Step 800/30000 — loss 0.0076
Step 900/30000 — loss 0.2701
Step 1000/30000 — loss 0.0036
Step 1100/30000 — loss 0.1119
Step 1200/30000 — loss 0.0275
Step 1300/30000 — loss 0.0576
Step 1400/30000 — loss 0.0209
Step 1500/30000 — loss 0.1179
Step 1600/30000 — loss 0.0352
Step 1700/30000 — loss 0.0099
Step 1800/30000 — loss 0.0075
Step 1900/30000 — loss 0.0262
Step 2000/30000 — loss 0.0075
Step 2100/30000 — loss 0.0397
Step 2200/30000 — loss 0.0653
Step 2300/30000 — loss 0.2887
Step 2400/30000 — loss 0.0323
Step 2500/30000 — loss 0.3946
Step 2600/30000 — loss 0.0307
Step 2700/30000 — loss 0.0019
Step 2800/30000 — loss 0.3378
Step 2900/30000 — loss 0.1428
Step 3000/30000 — loss 0.0040
Step 3100/30000 — loss 0.1393
Step 3200/30000 — loss 0.0031
Step 3300/30000 — loss 0.0542
Step 3400/30000 — loss 0.2226
Step 3500/30000 — loss 0.1290
Step 3600/30000 — loss 0.0532
Step 3700/30000 — loss 0.0031
Step 3800/30000 — loss 0.1004
Step 3900/30000 — loss 0.2836
Step 4000/30000 — loss 0.0084
Step 4100/30000 — loss 0.0834
Step 4200/30000 — loss 0.1173
Step 4300/30000 — loss 0.6903
Step 4400/30000 — loss 0.6947
Step 4500/30000 — loss 0.0056
Step 4600/30000 — loss 0.0092
Step 4700/30000 — loss 0.5100
Step 4800/30000 — loss 0.0242
Step 4900/30000 — loss 0.2651
Step 5000/30000 — loss 0.0579
[+] Saved ./lora-adapters-second-train/checkpoint-5000
Step 5100/30000 — loss 0.0105
Step 5200/30000 — loss 0.0070
Step 5300/30000 — loss 0.5792
Step 5400/30000 — loss 0.1941
Step 5500/30000 — loss 0.0404
Step 5600/30000 — loss 0.0028
Step 5700/30000 — loss 0.0359
Step 5800/30000 — loss 0.0062
Step 5900/30000 — loss 0.0020
Step 6000/30000 — loss 0.0043
Step 6100/30000 — loss 0.0215
Step 6200/30000 — loss 0.0087
Step 6300/30000 — loss 0.0427
Step 6400/30000 — loss 0.2433
Step 6500/30000 — loss 0.0449
Step 6600/30000 — loss 0.0341
Step 6700/30000 — loss 0.0035
Step 6800/30000 — loss 0.0231
Step 6900/30000 — loss 0.0237
Step 7000/30000 — loss 0.0077
Step 7100/30000 — loss 0.0127
Step 7200/30000 — loss 0.0160
Step 7300/30000 — loss 0.0154
Step 7400/30000 — loss 0.4661
Step 7500/30000 — loss 0.0099
Step 7600/30000 — loss 0.4078
Step 7700/30000 — loss 0.0218
Step 7800/30000 — loss 0.0469
Step 7900/30000 — loss 0.0976
Step 8000/30000 — loss 0.0920
Step 8100/30000 — loss 0.0376
Step 8200/30000 — loss 0.0166
Step 8300/30000 — loss 0.0283
Step 8400/30000 — loss 0.0457
Step 8500/30000 — loss 0.0203
Step 8600/30000 — loss 0.0188
Step 8700/30000 — loss 0.0346
Step 8800/30000 — loss 0.1089
Step 8900/30000 — loss 0.0781
Step 9000/30000 — loss 0.0021
Step 9100/30000 — loss 0.0149
Step 9200/30000 — loss 0.0049
Step 9300/30000 — loss 0.0046
Step 9400/30000 — loss 0.0865
Step 9500/30000 — loss 0.4006
Step 9600/30000 — loss 0.0460
Step 9700/30000 — loss 0.1618
Step 9800/30000 — loss 0.1104
Step 9900/30000 — loss 0.3224
Step 10000/30000 — loss 0.0075
[+] Saved ./lora-adapters-second-train/checkpoint-10000
Step 10100/30000 — loss 0.0441
Step 10200/30000 — loss 0.0752
Step 10300/30000 — loss 0.0143
Step 10400/30000 — loss 0.0132
Step 10500/30000 — loss 0.0032
Step 10600/30000 — loss 0.0789
Step 10700/30000 — loss 0.0028
Step 10800/30000 — loss 0.0061
Step 10900/30000 — loss 0.0395
Step 11000/30000 — loss 0.1150
Step 11100/30000 — loss 0.0509
Step 11200/30000 — loss 0.0055
Step 11300/30000 — loss 0.0117
Step 11400/30000 — loss 0.0026
Step 11500/30000 — loss 0.0075
Step 11600/30000 — loss 0.0020
Step 11700/30000 — loss 0.0970
Step 11800/30000 — loss 0.0077
Step 11900/30000 — loss 0.0048
Step 12000/30000 — loss 0.2204
Step 12100/30000 — loss 0.3230
Step 12200/30000 — loss 0.0589
Step 12300/30000 — loss 0.0036
Step 12400/30000 — loss 0.0347
Step 12500/30000 — loss 0.0023
Step 12600/30000 — loss 0.5771
Step 12700/30000 — loss 0.1050
Step 12800/30000 — loss 0.0720
Step 12900/30000 — loss 0.3501
Step 13000/30000 — loss 0.0024
Step 13100/30000 — loss 0.0081
Step 13200/30000 — loss 0.0047
Step 13300/30000 — loss 0.0026
Step 13400/30000 — loss 0.0986
Step 13500/30000 — loss 0.0254
Step 13600/30000 — loss 0.0246
Step 13700/30000 — loss 0.0118
Step 13800/30000 — loss 0.0567
Step 13900/30000 — loss 0.0100
Step 14000/30000 — loss 0.0168
Step 14100/30000 — loss 0.2402
Step 14200/30000 — loss 0.0045
Step 14300/30000 — loss 0.1276
Step 14400/30000 — loss 0.1384
Step 14500/30000 — loss 0.4533
Step 14600/30000 — loss 0.0629
Step 14700/30000 — loss 0.0360
Step 14800/30000 — loss 0.0103
Step 14900/30000 — loss 0.0087
Step 15000/30000 — loss 0.0570
[+] Saved ./lora-adapters-second-train/checkpoint-15000
Step 15100/30000 — loss 0.0232
Step 15200/30000 — loss 0.0263
Step 15300/30000 — loss 0.0885
Step 15400/30000 — loss 0.0421
Step 15500/30000 — loss 0.0052
Step 15600/30000 — loss 0.1503
Step 15700/30000 — loss 0.0012
Step 15800/30000 — loss 0.3544
Step 15900/30000 — loss 0.0574
Step 16000/30000 — loss 0.0051
Step 16100/30000 — loss 0.0838
Step 16200/30000 — loss 0.0575
Step 16300/30000 — loss 0.7400
Step 16400/30000 — loss 0.2242
Step 16500/30000 — loss 0.1825
Step 16600/30000 — loss 0.0124
Step 16700/30000 — loss 0.0258
Step 16800/30000 — loss 0.0059
Step 16900/30000 — loss 0.0189
Step 17000/30000 — loss 0.0074
Step 17100/30000 — loss 0.2273
Step 17200/30000 — loss 0.0064
Step 17300/30000 — loss 0.0978
