cuda available: True
cuda device count: 1
[+] Running on cuda
[+] Loading models (on CPU)…
[+] Preparing LoRA adapters…
[+] Profiling data pipeline (~200 examples)…
👀 Dataset size (train split): 1667 examples
[+] ~200 imgs in 244.7s → 1.223s/img
👀 Dataset size (train split): 1667 examples
[+] 100-step benchmark…
[+] 100 steps: 72.5s → 0.725s/step
[+] Est. full training: 6.0h
[+] Training start…
Step 100/30000 — loss 0.0185
Step 200/30000 — loss 0.3709
Step 300/30000 — loss 0.0097
Step 400/30000 — loss 0.0163
Step 500/30000 — loss 0.0422
Step 600/30000 — loss 0.0069
Step 700/30000 — loss 0.0411
Step 800/30000 — loss 0.0020
Step 900/30000 — loss 0.8417
Step 1000/30000 — loss 0.0023
Step 1100/30000 — loss 0.0025
Step 1200/30000 — loss 0.0503
Step 1300/30000 — loss 0.1789
Step 1400/30000 — loss 0.0241
Step 1500/30000 — loss 0.0030
Step 1600/30000 — loss 0.1383
Step 1700/30000 — loss 0.0752
Step 1800/30000 — loss 0.0061
Step 1900/30000 — loss 0.2643
Step 2000/30000 — loss 0.0022
Step 2100/30000 — loss 0.2688
Step 2200/30000 — loss 0.0242
Step 2300/30000 — loss 0.0115
Step 2400/30000 — loss 0.3695
Step 2500/30000 — loss 0.0758
Step 2600/30000 — loss 0.2975
Step 2700/30000 — loss 0.3258
Step 2800/30000 — loss 0.1288
Step 2900/30000 — loss 0.3273
Step 3000/30000 — loss 0.0265
Step 3100/30000 — loss 0.0173
Step 3200/30000 — loss 0.0046
Step 3300/30000 — loss 0.0199
Step 3400/30000 — loss 0.1855
Step 3500/30000 — loss 0.0540
Step 3600/30000 — loss 0.0684
Step 3700/30000 — loss 0.2062
Step 3800/30000 — loss 0.1000
Step 3900/30000 — loss 0.0280
Step 4000/30000 — loss 0.1672
Step 4100/30000 — loss 0.0038
Step 4200/30000 — loss 0.5844
Step 4300/30000 — loss 0.0116
Step 4400/30000 — loss 0.1834
Step 4500/30000 — loss 0.2888
Step 4600/30000 — loss 0.3661
Step 4700/30000 — loss 0.2305
Step 4800/30000 — loss 0.0684
Step 4900/30000 — loss 0.0336
Step 5000/30000 — loss 0.0290
[+] Saved ./lora-adapters-second-train/checkpoint-5000
Step 5100/30000 — loss 0.3772
Step 5200/30000 — loss 0.2589
Step 5300/30000 — loss 0.0478
Step 5400/30000 — loss 0.1895
Step 5500/30000 — loss 0.0367
Step 5600/30000 — loss 0.0143
Step 5700/30000 — loss 0.0186
Step 5800/30000 — loss 0.5869
Step 5900/30000 — loss 0.0558
Step 6000/30000 — loss 0.0035
Step 6100/30000 — loss 0.0347
Step 6200/30000 — loss 0.0156
Step 6300/30000 — loss 0.0392
Step 6400/30000 — loss 0.4191
Step 6500/30000 — loss 0.0043
Step 6600/30000 — loss 0.3670
Step 6700/30000 — loss 0.0156
Step 6800/30000 — loss 0.0127
Step 6900/30000 — loss 0.1051
Step 7000/30000 — loss 0.1762
Step 7100/30000 — loss 0.0020
Step 7200/30000 — loss 0.1655
Step 7300/30000 — loss 0.0457
Step 7400/30000 — loss 0.1347
Step 7500/30000 — loss 0.0166
Step 7600/30000 — loss 0.0191
Step 7700/30000 — loss 0.0260
Step 7800/30000 — loss 0.0087
Step 7900/30000 — loss 0.2786
Step 8000/30000 — loss 0.0339
Step 8100/30000 — loss 0.0083
Step 8200/30000 — loss 0.0026
Step 8300/30000 — loss 0.2097
Step 8400/30000 — loss 0.0088
Step 8500/30000 — loss 0.2834
Step 8600/30000 — loss 0.7243
Step 8700/30000 — loss 0.1285
Step 8800/30000 — loss 0.4031
Step 8900/30000 — loss 0.0609
Step 9000/30000 — loss 0.0036
Step 9100/30000 — loss 0.1072
Step 9200/30000 — loss 0.4689
Step 9300/30000 — loss 0.0044
Step 9400/30000 — loss 0.1355
Step 9500/30000 — loss 0.0096
Step 9600/30000 — loss 0.0129
Step 9700/30000 — loss 0.1097
Step 9800/30000 — loss 0.0722
Step 9900/30000 — loss 0.4900
Step 10000/30000 — loss 0.0587
[+] Saved ./lora-adapters-second-train/checkpoint-10000
Step 10100/30000 — loss 0.0925
Step 10200/30000 — loss 0.0698
Step 10300/30000 — loss 0.0878
Step 10400/30000 — loss 0.1437
Step 10500/30000 — loss 0.0128
Step 10600/30000 — loss 0.0041
Step 10700/30000 — loss 0.0819
Step 10800/30000 — loss 0.1299
Step 10900/30000 — loss 0.0091
Step 11000/30000 — loss 0.0352
Step 11100/30000 — loss 0.0299
Step 11200/30000 — loss 0.0436
Step 11300/30000 — loss 0.0692
Step 11400/30000 — loss 0.1334
Step 11500/30000 — loss 0.4540
Step 11600/30000 — loss 0.0637
Step 11700/30000 — loss 0.0558
Step 11800/30000 — loss 0.0127
Step 11900/30000 — loss 0.0222
Step 12000/30000 — loss 0.0381
Step 12100/30000 — loss 0.3240
Step 12200/30000 — loss 0.2954
Step 12300/30000 — loss 0.0842
Step 12400/30000 — loss 0.0038
Step 12500/30000 — loss 0.1817
Step 12600/30000 — loss 0.0244
Step 12700/30000 — loss 0.0494
Step 12800/30000 — loss 0.0448
Step 12900/30000 — loss 0.6092
Step 13000/30000 — loss 0.1048
Step 13100/30000 — loss 0.1637
Step 13200/30000 — loss 0.3233
Step 13300/30000 — loss 0.0031
Step 13400/30000 — loss 0.0387
Step 13500/30000 — loss 0.3729
Step 13600/30000 — loss 0.1628
Step 13700/30000 — loss 0.0925
Step 13800/30000 — loss 0.0187
Step 13900/30000 — loss 0.1306
Step 14000/30000 — loss 0.0382
Step 14100/30000 — loss 0.2377
Step 14200/30000 — loss 0.2198
Step 14300/30000 — loss 0.0181
Step 14400/30000 — loss 0.0322
Step 14500/30000 — loss 0.5132
Step 14600/30000 — loss 0.0177
Step 14700/30000 — loss 0.2531
Step 14800/30000 — loss 0.0023
Step 14900/30000 — loss 0.0570
Step 15000/30000 — loss 0.4503
[+] Saved ./lora-adapters-second-train/checkpoint-15000
Step 15100/30000 — loss 0.2763
Step 15200/30000 — loss 0.0022
Step 15300/30000 — loss 0.4413
Step 15400/30000 — loss 0.0253
Step 15500/30000 — loss 0.0215
Step 15600/30000 — loss 0.0434
Step 15700/30000 — loss 0.0646
Step 15800/30000 — loss 0.0084
Step 15900/30000 — loss 0.2883
Step 16000/30000 — loss 0.2959
Step 16100/30000 — loss 0.0372
Step 16200/30000 — loss 0.0158
Step 16300/30000 — loss 0.0089
Step 16400/30000 — loss 0.0238
Step 16500/30000 — loss 0.3749
Step 16600/30000 — loss 0.0041
Step 16700/30000 — loss 0.3339
Step 16800/30000 — loss 0.0269
Step 16900/30000 — loss 0.0126
Step 17000/30000 — loss 0.3415
Step 17100/30000 — loss 0.0044
Step 17200/30000 — loss 0.0055
Step 17300/30000 — loss 0.0108
