cuda available: True
cuda device count: 1
[+] Running on cuda
[+] Loading models (on CPU)…
[+] Preparing LoRA adapters…
[+] Profiling data pipeline (~200 examples)…
👀 Dataset size (train split): 1667 examples
[+] ~200 imgs in 244.3s → 1.222s/img
👀 Dataset size (train split): 1667 examples
[+] 100-step benchmark…
[+] 100 steps: 61.6s → 0.616s/step
[+] Est. full training: 5.1h
[+] Training start…
Step 100/30000 — loss 0.1028
Step 200/30000 — loss 0.1299
Step 300/30000 — loss 0.2380
Step 400/30000 — loss 0.3285
Step 500/30000 — loss 0.2151
Step 600/30000 — loss 0.1006
Step 700/30000 — loss 0.3041
Step 800/30000 — loss 0.0036
Step 900/30000 — loss 0.0092
Step 1000/30000 — loss 0.0031
Step 1100/30000 — loss 0.6236
Step 1200/30000 — loss 0.3273
Step 1300/30000 — loss 0.0964
Step 1400/30000 — loss 0.1381
Step 1500/30000 — loss 0.0023
Step 1600/30000 — loss 0.0451
Step 1700/30000 — loss 0.2181
Step 1800/30000 — loss 0.0168
Step 1900/30000 — loss 0.0103
Step 2000/30000 — loss 0.0709
Step 2100/30000 — loss 0.0025
Step 2200/30000 — loss 0.0571
Step 2300/30000 — loss 0.0061
Step 2400/30000 — loss 0.1349
Step 2500/30000 — loss 0.0750
Step 2600/30000 — loss 0.2270
Step 2700/30000 — loss 0.6528
Step 2800/30000 — loss 0.1580
Step 2900/30000 — loss 0.0865
Step 3000/30000 — loss 0.1195
Step 3100/30000 — loss 0.4871
Step 3200/30000 — loss 0.0034
Step 3300/30000 — loss 0.0151
Step 3400/30000 — loss 0.1920
Step 3500/30000 — loss 0.0038
Step 3600/30000 — loss 0.0021
Step 3700/30000 — loss 0.0209
Step 3800/30000 — loss 0.1605
Step 3900/30000 — loss 0.2619
Step 4000/30000 — loss 0.0535
Step 4100/30000 — loss 0.0839
Step 4200/30000 — loss 0.2139
Step 4300/30000 — loss 0.0376
Step 4400/30000 — loss 0.0028
Step 4500/30000 — loss 0.3018
Step 4600/30000 — loss 0.0055
Step 4700/30000 — loss 0.0543
Step 4800/30000 — loss 0.1407
Step 4900/30000 — loss 0.0222
Step 5000/30000 — loss 0.0201
[+] Saved ./lora-adapters-third-train/checkpoint-5000
Step 5100/30000 — loss 0.0696
Step 5200/30000 — loss 0.2469
Step 5300/30000 — loss 0.0124
Step 5400/30000 — loss 0.0052
Step 5500/30000 — loss 0.0802
Step 5600/30000 — loss 0.0651
Step 5700/30000 — loss 0.0522
Step 5800/30000 — loss 0.4583
Step 5900/30000 — loss 0.0588
Step 6000/30000 — loss 0.1177
Step 6100/30000 — loss 0.0298
Step 6200/30000 — loss 0.0227
Step 6300/30000 — loss 0.0029
Step 6400/30000 — loss 0.0084
Step 6500/30000 — loss 0.4293
Step 6600/30000 — loss 0.0099
Step 6700/30000 — loss 0.1205
Step 6800/30000 — loss 0.0598
Step 6900/30000 — loss 0.0881
Step 7000/30000 — loss 0.0344
Step 7100/30000 — loss 0.1975
Step 7200/30000 — loss 0.2447
Step 7300/30000 — loss 0.4178
Step 7400/30000 — loss 0.2544
Step 7500/30000 — loss 0.0112
Step 7600/30000 — loss 0.7146
Step 7700/30000 — loss 0.4806
Step 7800/30000 — loss 0.3550
Step 7900/30000 — loss 0.2287
Step 8000/30000 — loss 0.0524
Step 8100/30000 — loss 0.0235
Step 8200/30000 — loss 0.6665
Step 8300/30000 — loss 0.2933
Step 8400/30000 — loss 0.0076
Step 8500/30000 — loss 0.0457
Step 8600/30000 — loss 0.0441
Step 8700/30000 — loss 0.0052
Step 8800/30000 — loss 0.0871
Step 8900/30000 — loss 0.0762
Step 9000/30000 — loss 0.0889
Step 9100/30000 — loss 0.0019
Step 9200/30000 — loss 0.0026
Step 9300/30000 — loss 0.1981
Step 9400/30000 — loss 0.0066
Step 9500/30000 — loss 0.1275
Step 9600/30000 — loss 0.0097
Step 9700/30000 — loss 0.0056
Step 9800/30000 — loss 0.0232
Step 9900/30000 — loss 0.1571
Step 10000/30000 — loss 0.5490
[+] Saved ./lora-adapters-third-train/checkpoint-10000
Step 10100/30000 — loss 0.0047
Step 10200/30000 — loss 0.8393
Step 10300/30000 — loss 0.1629
Step 10400/30000 — loss 0.0215
Step 10500/30000 — loss 0.0787
Step 10600/30000 — loss 0.0166
Step 10700/30000 — loss 0.2374
Step 10800/30000 — loss 0.3246
Step 10900/30000 — loss 0.0577
Step 11000/30000 — loss 0.0818
Step 11100/30000 — loss 0.2216
Step 11200/30000 — loss 0.0023
Step 11300/30000 — loss 0.0541
Step 11400/30000 — loss 0.3129
Step 11500/30000 — loss 0.0608
Step 11600/30000 — loss 0.1924
Step 11700/30000 — loss 0.0319
Step 11800/30000 — loss 0.0994
Step 11900/30000 — loss 0.2175
Step 12000/30000 — loss 0.0038
Step 12100/30000 — loss 0.0908
Step 12200/30000 — loss 0.0521
Step 12300/30000 — loss 0.0581
Step 12400/30000 — loss 0.0029
Step 12500/30000 — loss 0.0056
Step 12600/30000 — loss 0.0094
Step 12700/30000 — loss 0.0133
Step 12800/30000 — loss 0.0134
Step 12900/30000 — loss 0.1837
Step 13000/30000 — loss 0.0022
Step 13100/30000 — loss 0.4847
Step 13200/30000 — loss 0.3755
Step 13300/30000 — loss 0.3380
Step 13400/30000 — loss 0.0396
Step 13500/30000 — loss 0.0011
Step 13600/30000 — loss 0.0025
Step 13700/30000 — loss 0.0031
Step 13800/30000 — loss 0.1096
Step 13900/30000 — loss 0.3304
Step 14000/30000 — loss 0.0041
Step 14100/30000 — loss 0.0497
Step 14200/30000 — loss 0.0605
Step 14300/30000 — loss 0.0153
Step 14400/30000 — loss 0.0616
Step 14500/30000 — loss 0.1682
Step 14600/30000 — loss 0.1407
Step 14700/30000 — loss 0.0099
Step 14800/30000 — loss 0.0974
Step 14900/30000 — loss 0.1254
Step 15000/30000 — loss 0.1612
[+] Saved ./lora-adapters-third-train/checkpoint-15000
Step 15100/30000 — loss 0.0077
Step 15200/30000 — loss 0.1740
Step 15300/30000 — loss 0.0156
Step 15400/30000 — loss 0.0083
Step 15500/30000 — loss 0.6316
Step 15600/30000 — loss 0.0247
Step 15700/30000 — loss 0.0086
Step 15800/30000 — loss 0.1784
Step 15900/30000 — loss 0.0128
Step 16000/30000 — loss 0.0634
Step 16100/30000 — loss 0.0022
Step 16200/30000 — loss 0.0022
Step 16300/30000 — loss 0.1334
Step 16400/30000 — loss 0.5082
Step 16500/30000 — loss 0.0184
Step 16600/30000 — loss 0.3434
Step 16700/30000 — loss 0.2113
Step 16800/30000 — loss 0.3007
Step 16900/30000 — loss 0.0138
Step 17000/30000 — loss 0.0244
Step 17100/30000 — loss 0.0212
Step 17200/30000 — loss 0.0046
Step 17300/30000 — loss 0.0012
