description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-2.jpg
Pasta with tomatoes on top ,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_wochenangebot.jpg
Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_essen-1.jpg
"Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",no,no,Quick plate,Vegan on request,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_schneller-teller.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_wochenangebot.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-1.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",no,no,Meal 2,Non-vegetarian,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-2.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-1.jpg
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-2.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_essen-1.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,no,no,Daily dish,Vegan on request,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_tagesgericht.jpg
Spicy vegetable coconut soup with organic tofu; baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_schneller-teller.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-1.jpg
Superfood salad with organic smoked tofu,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_schneller-teller.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_essen-1.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_essen-1.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_wochenangebot.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-1.jpg
Miso soup (vegetarian and with meat options); baguette,no,no,Meal 3,Vegan on request,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-3.jpg
Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,no,no,Meal 2,Vegetarian,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_essen-2.jpg
Mango‑wheat tabbouleh with herbs; harissa dip; baguette,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_schneller-teller.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-1.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-1.jpg
Zucchini‑ricotta balls; red pepper ragout; pasta risotto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-1.jpg
Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-2.jpg
Vegan filet strips; hummus; vegetable salad; flatbread,no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_tagesgericht.jpg
Miso soup (vegetarian or with meat); baguette,no,no,Meal 3,Vegan on request,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-3.jpg
Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_schneller-teller.jpg
Potato pancakes with pea guacamole; herb yoghurt dip,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_abendessen-1.jpg
Spaghetti with wheat‑vegetable Bolognese,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-1.jpg
Mixed salad plate; cream cheese spread; baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-1.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-2.jpg
