cuda available: True
cuda device count: 1
[+] Running on cuda
[+] Loading models (on CPU)…
[+] Preparing LoRA adapters…
[+] Profiling data pipeline (~200 examples)…
👀 Dataset size (train split): 1667 examples
[+] ~200 imgs in 4.5s → 0.022s/img
👀 Dataset size (train split): 1667 examples
[+] 100-step benchmark…
[+] 100 steps: 57.5s → 0.575s/step
[+] Est. full training: 4.8h
[+] Training start…
Step 100/30000 — loss 0.0356
Step 200/30000 — loss 0.0358
Step 300/30000 — loss 0.0052
Step 400/30000 — loss 0.1441
Step 500/30000 — loss 0.0545
Step 600/30000 — loss 0.0680
Step 700/30000 — loss 0.0361
Step 800/30000 — loss 0.4185
Step 900/30000 — loss 0.0286
Step 1000/30000 — loss 0.0210
Step 1100/30000 — loss 0.0100
Step 1200/30000 — loss 0.0158
Step 1300/30000 — loss 0.0708
Step 1400/30000 — loss 0.5806
Step 1500/30000 — loss 0.1851
Step 1600/30000 — loss 0.0167
Step 1700/30000 — loss 0.0033
Step 1800/30000 — loss 0.0143
Step 1900/30000 — loss 0.1395
Step 2000/30000 — loss 0.6521
Step 2100/30000 — loss 0.3633
Step 2200/30000 — loss 0.0883
Step 2300/30000 — loss 0.0487
Step 2400/30000 — loss 0.1367
Step 2500/30000 — loss 0.0146
Step 2600/30000 — loss 0.4342
Step 2700/30000 — loss 0.4396
Step 2800/30000 — loss 0.1839
Step 2900/30000 — loss 0.0172
Step 3000/30000 — loss 0.0029
Step 3100/30000 — loss 0.0036
Step 3200/30000 — loss 0.0219
Step 3300/30000 — loss 0.0525
Step 3400/30000 — loss 0.0045
Step 3500/30000 — loss 0.4193
Step 3600/30000 — loss 0.0172
Step 3700/30000 — loss 0.0677
Step 3800/30000 — loss 0.0023
Step 3900/30000 — loss 0.0168
Step 4000/30000 — loss 0.1294
Step 4100/30000 — loss 0.1840
Step 4200/30000 — loss 0.0031
Step 4300/30000 — loss 0.1453
Step 4400/30000 — loss 0.0036
Step 4500/30000 — loss 0.4582
Step 4600/30000 — loss 0.1014
Step 4700/30000 — loss 0.1041
Step 4800/30000 — loss 0.0536
Step 4900/30000 — loss 0.4249
Step 5000/30000 — loss 0.0065
[+] Saved ./lora-adapters-second-train/checkpoint-5000
Step 5100/30000 — loss 0.0644
Step 5200/30000 — loss 0.2423
Step 5300/30000 — loss 0.0025
Step 5400/30000 — loss 0.0111
Step 5500/30000 — loss 0.0031
Step 5600/30000 — loss 0.2730
Step 5700/30000 — loss 0.3303
Step 5800/30000 — loss 0.8451
Step 5900/30000 — loss 0.0050
Step 6000/30000 — loss 0.0082
Step 6100/30000 — loss 0.1310
Step 6200/30000 — loss 0.0041
Step 6300/30000 — loss 0.0154
Step 6400/30000 — loss 0.0141
Step 6500/30000 — loss 0.0044
Step 6600/30000 — loss 0.2623
Step 6700/30000 — loss 0.1269
Step 6800/30000 — loss 0.1772
Step 6900/30000 — loss 0.0025
Step 7000/30000 — loss 0.0371
Step 7100/30000 — loss 0.0079
Step 7200/30000 — loss 0.0846
Step 7300/30000 — loss 0.0042
Step 7400/30000 — loss 0.1502
Step 7500/30000 — loss 0.0470
Step 7600/30000 — loss 0.1749
Step 7700/30000 — loss 0.0683
Step 7800/30000 — loss 0.0062
Step 7900/30000 — loss 0.8943
Step 8000/30000 — loss 0.0056
Step 8100/30000 — loss 0.0172
Step 8200/30000 — loss 0.0050
Step 8300/30000 — loss 0.4428
Step 8400/30000 — loss 0.2046
Step 8500/30000 — loss 0.1224
Step 8600/30000 — loss 0.0504
Step 8700/30000 — loss 0.0026
Step 8800/30000 — loss 0.0075
Step 8900/30000 — loss 0.0411
Step 9000/30000 — loss 0.0738
Step 9100/30000 — loss 0.0790
Step 9200/30000 — loss 0.0039
Step 9300/30000 — loss 0.0087
Step 9400/30000 — loss 0.0095
Step 9500/30000 — loss 0.0040
Step 9600/30000 — loss 0.0112
Step 9700/30000 — loss 0.0180
Step 9800/30000 — loss 0.2469
Step 9900/30000 — loss 0.0519
Step 10000/30000 — loss 0.0030
[+] Saved ./lora-adapters-second-train/checkpoint-10000
Step 10100/30000 — loss 0.0124
Step 10200/30000 — loss 0.0069
Step 10300/30000 — loss 0.3397
Step 10400/30000 — loss 0.1211
Step 10500/30000 — loss 0.0066
Step 10600/30000 — loss 0.2912
Step 10700/30000 — loss 0.0027
Step 10800/30000 — loss 0.0703
Step 10900/30000 — loss 0.0462
Step 11000/30000 — loss 0.0029
Step 11100/30000 — loss 0.0828
Step 11200/30000 — loss 0.0212
Step 11300/30000 — loss 0.0386
Step 11400/30000 — loss 0.0156
Step 11500/30000 — loss 0.2105
Step 11600/30000 — loss 0.0056
Step 11700/30000 — loss 0.0160
Step 11800/30000 — loss 0.0750
Step 11900/30000 — loss 0.3237
Step 12000/30000 — loss 0.0091
Step 12100/30000 — loss 0.0094
Step 12200/30000 — loss 0.0084
Step 12300/30000 — loss 0.2158
Step 12400/30000 — loss 0.1965
Step 12500/30000 — loss 0.0023
Step 12600/30000 — loss 0.2390
Step 12700/30000 — loss 0.0078
Step 12800/30000 — loss 0.3063
Step 12900/30000 — loss 0.0046
Step 13000/30000 — loss 0.0014
Step 13100/30000 — loss 0.1129
Step 13200/30000 — loss 0.1358
Step 13300/30000 — loss 0.0330
Step 13400/30000 — loss 0.0091
Step 13500/30000 — loss 0.0364
Step 13600/30000 — loss 0.0063
Step 13700/30000 — loss 0.0012
Step 13800/30000 — loss 0.7917
Step 13900/30000 — loss 0.1578
Step 14000/30000 — loss 0.0149
Step 14100/30000 — loss 0.0036
Step 14200/30000 — loss 0.0058
Step 14300/30000 — loss 0.0126
Step 14400/30000 — loss 0.2952
Step 14500/30000 — loss 0.3064
Step 14600/30000 — loss 0.0044
Step 14700/30000 — loss 0.5853
Step 14800/30000 — loss 0.3954
Step 14900/30000 — loss 0.0039
Step 15000/30000 — loss 0.0185
[+] Saved ./lora-adapters-second-train/checkpoint-15000
Step 15100/30000 — loss 0.0269
Step 15200/30000 — loss 0.0415
Step 15300/30000 — loss 0.0459
Step 15400/30000 — loss 0.0181
Step 15500/30000 — loss 0.0344
Step 15600/30000 — loss 0.0104
Step 15700/30000 — loss 0.0334
Step 15800/30000 — loss 0.0806
Step 15900/30000 — loss 0.0446
Step 16000/30000 — loss 0.1212
Step 16100/30000 — loss 0.0029
Step 16200/30000 — loss 0.3354
Step 16300/30000 — loss 0.0266
Step 16400/30000 — loss 0.1943
Step 16500/30000 — loss 0.0309
Step 16600/30000 — loss 0.0733
Step 16700/30000 — loss 0.0022
Step 16800/30000 — loss 0.0024
Step 16900/30000 — loss 0.5883
Step 17000/30000 — loss 0.0194
Step 17100/30000 — loss 0.0134
Step 17200/30000 — loss 0.4334
Step 17300/30000 — loss 0.0017
